geo,year,life_expectancy
LT,2005,71.2
LT,2006,71.0
LT,2007,70.7
LT,2008,71.7
LT,2009,72.9
LT,2010,73.3
LT,2011,73.7
LT,2012,74.1
LT,2013,74.1
LT,2014,74.7
LT,2015,74.6
LT,2016,74.9
LT,2017,75.8
LT,2018,76.0
LT,2019,76.5
LT,2020,75.2
LT,2021,74.2
LT,2022,75.8
LT,2023,77.6
LT,2024,77.5
LU,1960,
LU,1961,
LU,1962,
LU,1963,
LU,1964,
LU,1965,
LU,1966,
LU,1967,
LU,1968,
LU,1969,
LU,1970,
LU,1971,69.6
LU,1972,70.8
LU,1973,70.6
LU,1974,70.7
LU,1975,70.7
LU,1976,70.7
LU,1977,72.1
LU,1978,72.0
LU,1979,72.7
LU,1980,72.8
LU,1981,72.6
LU,1982,72.7
LU,1983,73.5
LU,1984,73.3
LU,1985,73.8
LU,1986,74.7
LU,1987,74.3
LU,1988,75.0
LU,1989,74.9
LU,1990,75.7
LU,1991,75.7
LU,1992,75.3
LU,1993,76.0
LU,1994,76.7
LU,1995,76.8
LU,1996,76.8
LU,1997,77.1
LU,1998,77.3
LU,1999,78.0
LU,2000,78.0
LU,2001,78.0
LU,2002,78.1
LU,2003,77.9
LU,2004,79.2
LU,2005,79.6
LU,2006,79.4
LU,2007,79.5
LU,2008,80.7
LU,2009,80.8
LU,2010,80.8
LU,2011,81.1
LU,2012,81.5
LU,2013,81.9
LU,2014,82.3
LU,2015,82.4
LU,2016,82.7
LU,2017,82.1
LU,2018,82.3
LU,2019,82.7
LU,2020,82.2
LU,2021,82.7
LU,2022,83.0
LU,2023,83.4
LU,2024,83.2
LV,1960,
LV,1961,
LV,1962,
LV,1963,
LV,1964,
LV,1965,
LV,1966,
LV,1967,
LV,1968,
LV,1969,
LV,1970,
LV,1971,
LV,1972,
LV,1973,
LV,1974,
LV,1975,
LV,1976,
LV,1977,
LV,1978,
LV,1979,
LV,1980,
LV,1981,
LV,1982,
LV,1983,
LV,1984,
LV,1985,
LV,1986,
LV,1987,
LV,1988,
LV,1989,
LV,1990,
LV,1991,
LV,1992,
LV,1993,
LV,1994,
LV,1995,
LV,1996,
LV,1997,
LV,1998,
LV,1999,
LV,2000,
LV,2001,
LV,2002,70.2
LV,2003,70.6
LV,2004,70.9
LV,2005,70.6
LV,2006,70.6
LV,2007,70.8
LV,2008,72.1
LV,2009,72.8
LV,2010,73.1
LV,2011,73.9
LV,2012,74.1
LV,2013,74.3
LV,2014,74.5
LV,2015,74.8
LV,2016,74.9
LV,2017,74.9
LV,2018,75.1
LV,2019,75.7
LV,2020,75.5
LV,2021,73.1
LV,2022,74.5
LV,2023,75.6
LV,2024,76.4
MT,1960,
MT,1961,
MT,1962,
MT,1963,
MT,1964,
MT,1965,
MT,1966,
MT,1967,
MT,1968,
MT,1969,
MT,1970,
MT,1971,
MT,1972,
MT,1973,
MT,1974,
MT,1975,
MT,1976,
MT,1977,71.5
MT,1978,70.2
MT,1979,71.4
MT,1980,70.4
MT,1981,71.5
MT,1982,
MT,1983,
MT,1984,
MT,1985,
MT,1986,
MT,1987,
MT,1988,
MT,1989,
MT,1990,
MT,1991,
MT,1992,
MT,1993,
MT,1994,
MT,1995,77.4
MT,1996,77.5
MT,1997,77.8
MT,1998,77.7
MT,1999,77.6
MT,2000,78.5
MT,2001,78.9
MT,2002,78.8
MT,2003,78.7
MT,2004,79.4
