freq,unit,sex,age,geo\TIME_PERIOD	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,NR,F,Y40-44,CH	158100 	162535 	170162 	177618 	184961 	191185 	191901 	192491 	193300 	194738 	195782 	197303 	197740 	199574 	200900 	202477 	201367 	201242 	200387 	200746 	201795 	203705 	207470 	214466 	221649 	229230 	235938 	242560 	246934 	250703 	251656 	253024 	251319 	251058 	250096 	250819 	252180 	255863 	259220 	263627 	269157 	275850 	283521 	291396 	300231 	308164.0 	313691.0 	317816.0 	320461.0 	321378.0 	319073.0 	315984 	311754 	306422 	300842 	296446 	292776 	289994 	289365 	290066 	292439 	297807 	302550 	308881 	318007 	323421 
A,NR,F,Y40-44,CY	: 	15613 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18308 	: 	: 	13397 	: 	: 	: 	: 	: 	15358 	15405 	15810 	16236 	16625 	17043 	17449 	17895 	18543 	19378 	20271 	21166 	21670 	22034 	22358 	22761 	23302 	23962 	24805 	25686 	27277 	27740 	28003 	28127.0 	28162.0 	28257.0 	28528.0 	28941.0 	29519.0 	30174 	31440 	32230 	31983 	31980 	31963 	32373 	32540 	33344 	34590 	36171 	37750 	39001 	40123 	41228 
A,NR,F,Y40-44,CZ	210275 	227614 	265081 	307265 	349491 	366726 	368224 	362514 	353582 	345387 	337464 	330551 	325850 	321492 	313075 	304829 	292850 	282205 	272903 	269963 	269851 	277247 	287561 	300323 	319111 	337754 	346648 	370096 	393299 	404434 	410943 	420284 	417510 	412116 	407857 	405728 	400542 	393009 	383474 	370929 	353375 	337054 	322774 	313787 	317480 	329358.0 	338274.0 	343232.0 	347368.0 	343575.0 	339706.0 	341855 	349518 	362606 	383063 	407714 	428507 	444616 	454608 	456041 	448510 	418833 b	401338 	403449 	392909 	380194 
A,NR,F,Y40-44,DE	1466380 	1594881 	1812194 	2019121 	2193495 	2245213 	2196259 	2130105 	2065646 	2038394 	2009316 	1962324 	1923618 	1889371 	1841134 	1870056 	1914350 	1998165 	2099704 	2236852 	2331535 	2408561 	2436956 	2374186 	2291387 	2170089 	1956985 	1830846 	1827438 	1835936 	1883814 	2473313 	2609769 	2706665 	2773324 	2809745 	2832145 	2872864 	2911981 	2961962 	3035489 	3125928 	3222447 	3312424 	3409135 	3474810.0 	3505076.0 	3513102.0 	3497621.0 	3441360.0 	3353895.0 	3182247 b	3052471 	2894516 	2719068 	2573135 	2471280 	2393629 	2377131 	2402780 	2438092 	2503680 	2552269 	2633567 b	2674408 	2701234 
A,NR,F,Y40-44,DK	149014 	153529 	156401 	157141 	157650 	159151 	155050 	151834 	149903 	147390 	144317 	142613 	140581 	139915 	138338 	138698 	138461 	139778 	141679 	144592 	146366 	149268 	152072 	157644 	165121 	175449 	186198 	197307 	203691 	205120 	201915 	197447 	190161 	184944 	182770 	181979 	181855 	183368 	183475 	183412 	183597 	184959 	186029 	188245 	192579 	197524.0 	202298.0 	208447.0 	210969.0 	208574.0 	204237.0 	199063 	193901 	192693 	192679 	194114 	196251 	193540 	188736 	185852 	181674 	176448 	172805 	172270 	169443 	168150 
A,NR,F,Y40-44,EE	34347 	34744 	37252 	41816 	44908 	48747 	51705 	53756 	54759 	55841 	56253 	57011 	56939 	56897 	55072 	53635 	52496 	52597 	53239 	54932 	56511 	56707 	57420 	54897 	51186 	47823 	45592 	43888 	45292 	48685 	52494 	55255 	56312 	55595 	54300 	53264 	53244 	52602 	52249 	52311 	52840 	52550 	52570 	52090 	51040 	49860.0 	48170.0 	46200.0 	44850.0 	44400.0 	44220.0 	44570 	45247 	45704 	45584 	45386 b	44874 	44538 	44248 	44218 	44080 	44240 	44184 	46424 	47787 	48789 
A,NR,F,Y40-44,EL	318895 	231022 	243346 	235036 	253986 	255581 	271504 	283300 	311964 	318920 	339708 	335757 	337337 	339437 	336711 	337235 	339161 	344996 	343810 	347048 	343946 	337158 	326824 	308564 	297510 	289300 	301511 	304643 	311384 	320867 	330068 	336219 	333185 	333468 	334003 	340784 	346818 	353065 	356529 	366911 	374084 	378645 	382065 	386300 	387620 	388028.0 	389665.0 	394982.0 	405099.0 	415881.0 	425172.0 	431569 	432298 	426217 	418849 	414970 	410599 	408224 	405328 	404656 	402081 	400046 	395322 b	389862 	381365 	369486 
A,NR,F,Y40-44,ES	950891 	: 	991641 	1016385 	1042565 	1070516 	1099554 	1111835 	1125101 	1136233 	1144730 	1176850 	1182639 	1202926 	1211393 	1216367 	1198774 	1210203 	1173455 	1113167 	1039897 	1047705 	987384 	980195 	1026570 	1097729 	1105438 	1147529 	1182135 	1209210 	1219716 	1206097 	1215127 	1232094 	1226810 	1234955 	1265227 	1299546 	1338171 	1383044 	1434718 	1484410 	1528559 	1568804 	1611719 	1666123.0 	1707025.0 	1753735.0 	1806586.0 	1838592.0 	1847679.0 	1862778 	1880784 	1885237 	1889634 	1906459 	1925856 	1947743 	1959078 	1972034 	1965812 	1941058 	1891265 	1863161 	1818490 	1775900 
A,NR,F,Y40-44,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15786883 	15860996 	15971723 	16164816 	16355626.0 	16511858.0 	16589580.0 	16705242.0 	16734282.0 	16604413.0 	16440319 	16342620 	16198286 	15994841 be	15870743 be	15763433 be	15642466 be	15558431 e	15521698 	15430382 e	15355193 bep	15253139 ep	15293926 bep	15228242 ep	15161939 ep
A,NR,F,Y40-44,FI	135210 	138744 	142153 	144349 	147097 	153478 	151918 	150716 	149873 	148615 	148556 	147804 	146578 	145088 	140904 	137691 	135231 	134212 	135073 	139186 	143123 	141518 	150298 	146729 	147415 	148412 	161347 	168846 	188116 	201729 	212574 	215100 	211489 	208286 	203646 	200867 	198750 	198430 	195683 	192838 	190213 	188289 	186371 	185579 	186972 	186798.0 	185979.0 	185085.0 	183950.0 	181293.0 	176611.0 	172117 	166939 	160821 	154636 	154103 	155047 	157901 	161943 	166596 	168547 	169595 	170339 	172759 	177751 	181697 
A,NR,F,Y40-44,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2192926 	2206585 	2208785 	2197929 	2193304 	2183556 	2190029 	2192843 	2199279 	2213310 	2226508 	2240229 	2249257 	2274883 	2294852.0 	2306528.0 	2318173.0 	2314722.0 	2299239.0 	2278546.0 	2274100 	2280299 	2301125 	2314128 b	2296245 	2249560 	2186738 	2132379 p	2090250 	2081083 	2124524 	2181417 	2216380 p	2237824 p	2251732 p
A,NR,F,Y40-44,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	177676.0 	170669.0 	162382.0 	157648.0 	155283.0 	155430 	156632 	: 	156903 	129900 	124000 	123100 	122433 	121788 	121053 	122385 	121493 	123654 	125188 	127889 
A,NR,F,Y40-44,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	164073 	162659 	161675 	160021 	157536.0 	156370.0 	155205.0 	153533.0 	151809.0 	149500.0 	144591 	141066 	138932 	137599 	136627 	136490 	135761 	134517 	133711 	133693 	133468 	132665 	132506 	132352 	131697 
A,NR,F,Y40-44,HU	239210 	265565 	305389 	348528 	387773 	391879 	392283 	390133 	381807 	379609 	378755 	375717 	369668 	368933 	364160 	359680 	351927 	348158 	343367 	341374 	338601 	341834 	342836 	347870 	349823 	358005 	352805 	351426 	354923 	363979 	361232 	377288 	391846 	396144 	405401 	422084 	430586 	434372 	428731 	412461 	385283 	362691 	341518 	327071 	317051 	310409.0 	304222.0 	304337.0 	313665.0 	325279.0 	335379.0 	346058 	356595 	358422 	357839 	371555 	389340 	403421 	414062 	420717 	410805 	391972 	374139 	353231 	335213 	318898 
A,NR,F,Y40-44,IE	86500 	85700 	85000 	84500 	83900 	83300 	82600 	81500 	80100 	78700 	77600 	76500 	76400 	76700 	76900 	77200 	77400 	77500 	77500 	77600 	78609 	80200 	82700 	85500 	88400 	91021 	96650 	98074 	102000 	105810 	109137 	111354 	113195 	115012 	116264 	118086 	119938 	123120 	125698 	127737 	130176 	133673 	136169 	139373 	142715 	146185.0 	149129.0 	152253.0 	155323.0 	156911.0 	158500.0 	161790 	165774 	169348 	173174 	177369 	178949 	183070 	186191 	192958 	198130 	204621 	210937 	219167 	223535 	225863 
A,NR,F,Y40-44,IS	4681 	4815 	4914 	5015 	5111 	5227 	5253 	5316 	5344 	5355 	5437 	5667 	5676 	5724 	5716 	5691 	5532 	5499 	5382 	5334 	5258 	5260 	5297 	5565 	5917 	6244 	6595 	6892 	7148 	7494 	7760 	7980 	8417 	8574 	8763 	8991 	9255 	9412 	9692 	9935 	10231 	10450 	10501 	10605 	10713 	10815.0 	10889.0 	11115.0 	11153.0 	10944.0 	10604.0 	10290 	10039 	10186 	10446 	10464 	10702 	10881 	10875 	10991 	11454 	11758 	12015 	12508 	12643 	12761 
A,NR,F,Y40-44,IT	1289200 	1337500 	1448500 	1623700 	1800300 	1925600 	1909300 	1900600 	1890400 	1880000 	1861700 	1887100 	1881971 	1869264 	1864256 	1864349 	1836418 	1832224 	1836628 	1861224 	1891267 	1917990 	1913105 	1892138 	1846020 	1786665 	1714090 	1773742 	1832186 	1900758 	1955216 	2016999 	1984476 	1943679 	1896331 	1888652 	1885588 	1903670 	1925326 	1949751 	1974253 	2008798 	2053727 	2108112 	2190024 	2274765 	2334087 	2381275 	2427892 	2456017 	2455977 	2450707 	2442611 	2433332 	2420229 	2401153 	2375375 	2323658 	2261022 	2190571 b	2098266 	2007068 	1932574 	1885417 	1836635 	1801999 
A,NR,F,Y40-44,LI	422 	449 	499 	563 	602 	630 	631 	637 	622 	615 	: 	578 	: 	543 	573 	600 	629 	637 	661 	682 	684 	747 	799 	857 	893 	980 	983 	1016 	1047 	1081 	1067 	1114 	1127 	1166 	1163 	1186 	1242 	1275 	1287 	1313 	1373 	1431 	1464 	1502 	1548 	1553.0 	1531.0 	1542.0 	1565.0 	1610.0 	1584.0 	1584 	1552 	1534 	1473 	1425 	1421 	1375 	1325 	1279 	1288 	1278 	1260 	1295 	1320 	1377 
A,NR,F,Y40-44,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	124437 	125209 	124816 	125787 	124591 	123371 	123121 	125413 	124860 	124950 	125003 	123437 	121985 	122239 	119961 	115902 	115618 	112155 	108630 	109822 	115628 	117023 	119863 	121753 	120627 	119249 	119129 	120138 	122530 	127997 	132165 	137412 	140828 	142290 	139961 	135826.0 	130035.0 	124748.0 	120831.0 	118639.0 	116376.0 	113638 	112000 	110559 	108099 	106007 	102838 	98981 	95789 	94128 	92645 	90697 	89423 	91816 	93682 	95768 
A,NR,F,Y40-44,LU	9289 	9344 	: 	: 	: 	11682 	: 	11871 	12095 	12091 	12174 	12503 	12567 	12485 	12322 	12087 	11775 	11563 	11448 	11590 	11840 	11804 	11739 	11827 	11746 	11596 	11573 	11954 	12286 	12580 	13012 	13526 	13709 	14007 	14390 	14789 	15189 	15834 	16123 	16408 	16752 	17376 	17702 	18057 	18562 	19143.0 	19499.0 	19939.0 	20310.0 	20636.0 	20718.0 	21016 	21128 	21221 	21176 	21290 	21551 	21766 b	22245 	22825 	23277 	23790 	24299 	25012 	25452 	25884 
A,NR,F,Y40-44,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100632 	99336 	96930 	95921 	93589 	91778 	90416 	92301 	93426 	96466 	99985 	101509 	101426 	99158 	94532 	89482 	84307 	80081 	79132 	81253 	81352 	80926 	90374 	89888 	88036 	86264 	86562 	87027 	87841 	89876 	90978 	91400 	91524 	91088 	89220 	86451.0 	82637.0 	79686.0 	77137.0 	74983.0 	73078.0 	72695 	72406 	71820 	70851 	70049 	68868 	67002 	65447 	63991 	62662 	61455 	60805 	62116 	63453 	65229 
A,NR,F,Y40-44,MC	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1169 	1159 
A,NR,F,Y40-44,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	132940.0 	129411.0 	124189.0 	120516.0 	116867.0 	116152 	115280 	116358 	117507 	88786 be	89834 e	91026 e	90852 e	88829 e	88565 e	88325 e	89553 e	91011 ep	91505 ep	85839 ep
A,NR,F,Y40-44,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21978 	22114 	22175 	22247 	22364 	22346.0 	21879.0 	21737.0 	21486.0 	20996.0 	20708.0 	20465 	20423 	20513 	20876 	20940 	21155 	21367 	21482 	21506 	21602 	21929 	21886 	22044 	22969 	23130 
A,NR,F,Y40-44,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	67157 	68860 	69410 	70927 	70902 	71285 	71410 	72348 	72474 	71744 	72115 	72431.0 	72520.0 	72681.0 	73566.0 	73675.0 	73277.0 	72443 	72254 	72488 	72327 	72547 	73328 	74354 	74418 	74918 	75302 	75863 	63549 b	63903 	64023 	63814 
A,NR,F,Y40-44,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9291 	9866 	9722 	9969 	9861 	9735 	: 	9085 	9949 	10982 	12290 	13943 	14906 	14967 	14978 b	14797 	14346 	14088 	13944 	13915 	13838 	14042 	14235 	14407 	14960 	14955 	14797 	14543 	14149.0 	13555.0 	13097.0 	12665.0 	12488.0 	12278.0 	12209 	12432 	12660 	13055 	13831 	14591 	15380 	16204 	17034 	18005 	18336 	18605 	19649 	20537 	21203 
A,NR,F,Y40-44,NL	333771 	346782 	356752 	366303 	379311 	389767 	385968 	383154 	380754 	377987 	376204 	378894 	380339 	383540 	381474 	381269 	379414 	378892 	377881 	383794 	390740 	400054 	405196 	413328 	424549 	439271 	447243 	493609 	532386 	556743 	572721 	591559 	574580 	564605 	561733 	562886 	567559 	574814 	580767 	589335 	599941 	609559 	620494 	629772 	638148 	645010.0 	648455.0 	646161.0 	642708.0 	639848.0 	641028.0 	642261 	640065 	633360 	616124 	590046 	562364 	539491 	521589 	514928 	512586 	517454 	522737 	532357 	536712 	542854 
A,NR,F,Y40-44,NO	124724 	128912 	130605 	130762 	130647 	130862 	125270 	121850 	117651 	113762 	110423 	108350 	105769 	104288 	101207 	98945 	96498 	95047 	94584 	96503 	98954 	101678 	103502 	107246 	111985 	118997 	126933 	138862 	146821 	151656 	152821 	152638 	148587 	147191 	147758 	148836 	150343 	153296 	154520 	155444 	156531 	156709 	156556 	157407 	158760 	161022.0 	163999.0 	167158.0 	170748.0 	174486.0 	177839.0 	179727 	181858 	183150 	182249 	181192 	179503 	176108 	172196 	170461 	168825 	168819 	169998 	174403 	177417 	180016 
A,NR,F,Y40-44,PL	684700 	: 	: 	: 	: 	1051600 	: 	: 	: 	: 	1159100 	: 	: 	: 	: 	1141589 	: 	: 	: 	: 	1073057 	: 	: 	: 	: 	928916 	: 	: 	: 	: 	1280419 	1401842 	1469447 	1521785 	1556482 	1587506 	1610160 	1622818 	1628586 	1627519 	1586486 	1542376 	1483908 	1414094 	1348578 	1290347.0 	1243114.0 	1210022.0 	1186026.0 	1167740.0 	1151644.0 	1157715 	1175172 	1203491 	1238878 	1280761 	1325518 	1372962 	1408898 	1438016 	1464473 	1452917 bep	1451097 ep	1464119 ep	1485367 ep	1493465 ep
A,NR,F,Y40-44,PT	249690 	259714 	262950 	271950 	279000 	296680 	292180 	296580 	293300 	295500 	286700 	292395 	282640 	286720 	279800 	294990 	307760 	307400 	304130 	304180 	304290 	300472 	291974 	288486 	286467 	287818 	295153 	302942 	310724 	320624 	326558 	330291 	334591 	338512 	337308 	340182 	344075 	346334 	350156 	356165 	361392 	367866 	375944 	382535 	387642 	394630.0 	397618.0 	399077.0 	399476.0 	398779.0 	396620.0 	397097 	399315 	403236 	407443 	413529 	418601 	421155 	421040 	415838 	406319 	397624 	385101 	377363 	373875 	371643 
A,NR,F,Y40-44,RO	: 	: 	: 	: 	: 	: 	: 	: 	733040 	739068 	740481 	752650 	752472 	767427 	764041 	766510 	766872 	770170 	770856 	774215 	771601 	768201 	737122 	703627 	665037 	641610 	612012 	616586 	622428 	648182 	688201 	743025 	763076 	796049 	814054 	815625 	826254 	839770 	841387 	840434 	819699 	787716 	733669 	717316 	707819 	698635.0 	747290.0 	739404.0 	788504.0 	851628.0 	854246.0 	856891 	863937 	810464 	756950 	743374 	737659 	740225 	750328 	759444 	750086 e	740280 e	706473 e	680150 e	647971 e	626367 e
A,NR,F,Y40-44,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	293575 	281100 	275293 	269829 	266701 	262382 	256940.0 	250933.0 	246132.0 	243399.0 	240867.0 	240816.0 	237916 	237453 	237407 	238691 	240032 	243471 	246038 	247417 	247380 	246945 	245024 	242352 	233229 b	232209 	231481 
A,NR,F,Y40-44,RU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5669324.0 	5373632.0 	5078050.0 	4866785.0 	4749151.0 	4766405 	: 	: 	5016931 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,F,Y40-44,SE	256478 	265419 	271491 	272893 	274170 	275025 	264042 	255153 	248463 	243509 	238160 	234878 	231426 	228836 	223246 	220381 	216977 	216938 	217936 	223061 	229540 	234431 	240043 	250960 	265284 	281400 	299765 	316165 	325788 	329736 	327770 	321718 	312367 	304108 	297121 	291498 	289071 	289080 	288989 	287670 	287831 	286872 	286409 	287385 	292052 	301724.0 	311210.0 	320875.0 	328097.0 	330256.0 	325130.0 	320639 	318120 	316197 	316510 	320549 	321076 	318411 	315024 	311921 	309321 	310620 	312994 	316375 	319679 	323088 
A,NR,F,Y40-44,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59750 	60811 	61712 	60785 	57630 	59706 	60284 	60974 	63874 	70476 	73390 	75592 	77461 	78923 	77651 	78291 	78276 	77363 	76804 	76243 	76013 	75556 	75941 	76362.0 	77085.0 	77222.0 	77362.0 	76551.0 	75461.0 	73349 	71772 	70674 	70647 	70750 	71870 	73121 	73492 	74099 	75045 	75862 	75295 	75172 	74523 	73765 
A,NR,F,Y40-44,SK	81287 	91674 	110104 	129322 	148789 	152762 	155160 	153425 	150828 	148549 	148216 	147947 	147864 	148247 	146476 	144222 	141861 	138521 	135252 	134281 	134914 	136480 	138926 	141548 	143011 	145682 	145955 	147942 	154510 	162512 	168858 	180067 	190016 	196974 	202435 	208072 	211466 	212956 	212601 	211254 	207503 	202438 	197779 	193240 	191206 	191566.0 	190380.0 	188001.0 	185234.0 	181156.0 	178042.0 	176564 	177609 	182609 	190108 	197900 	205362 	212237 	217047 	219875 	221220 	219935 	216536 	213930 	210742 	207499 
A,NR,F,Y40-44,SM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1590 	1566 	: 	: 	: 	: 	1505 	: 	: 	: 	: 	: 	: 	: 
A,NR,F,Y40-44,TR	536226 	558097 	581637 	607015 	634426 	664078 	701361 	741385 	784402 	830683 	880528 	908725 	938402 	969639 	1002534 	1037187 	1038613 	1040859 	1043933 	1047849 	1052617 	1058493 	1065101 	1072467 	1080615 	1089574 	1136192 	1185088 	1236387 	1290220 	1346723 	1336673 	1406208 	1482712 	1561723 	1638701 	1709689 	1775673 	1836159 	1894662 	1952656 	1993000 b	2046000 	2094000 	2142000 	2189000.0 	2235000.0 	2280000.0 	2346486.0 	2342544.0 	2296915.0 	2249976 	2339933 	2498561 	2634460 	2744032 	2764155 	2800662 	2849020 	2892697 	2950486 	3089465 	3253091 	3284156 	3265956 	3245656 
A,NR,F,Y40-44,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1801325.0 	1729315.0 	1660295.0 	1605033.0 	1570170.0 	1575667 	1583122 	1605955 	1614894 	1556352 	1563237 	1572073 	1561425 	1570046 	1571692 	1583673 	1584279 	: 	: 	: 
A,NR,F,Y40-44,UK	1700000 	1700000 	1800000 	1900000 	1900000 	1900000 	1847300 	1793900 	1752600 	1720700 	1696700 	1676700 	1656184 	1634193 	1607891 	1580224 	1560611 	1553358 	1559632 	1576681 	1591697 	1589775 	1583692 	1598031 	1632817 	1676762 	1733966 	1841991 	1956012 	2015439 	2048133 	2067762 	2025367 	1949980 	1912114 	1894093 	1891566 	1910183 	1941946 	1980071 	2026744 	2080504 	2136466 	2192186 	2248063 	2304192.0 	2347387.0 	2374811.0 	2383866.0 	2377248.0 	2360906.0 	2343321 	2325890 	2294249 	2247070 	2195049 	2138004 	2075460 	2028805 	2018718 	: 	: 	: 	: 	: 	: 
A,NR,F,Y45-49,AD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1081 	1117 	1163 	1329 	1450 	1502 	1648 	1713 	1848 	1907 	2010 	2044 	2072 	2090 	2108 	2196 	2329 	2416 	2649 	2846.0 	2905.0 	3044.0 	3229.0 	3373.0 	3470.0 	3436 	3436 	3338 	: 	: 	: 	: 	: 	3455 	: 	: 	: 	: 	: 	: 
A,NR,F,Y45-49,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	86305 	90116 	94405 	97111.0 	101071.0 	102931.0 	105284.0 	105717.0 	106831.0 	103740 	102015 	101163 	99035 	97947 	97707 	96841 	93847 	92099 	89259 	87253 	: 	83658 	: 	73330 
A,NR,F,Y45-49,AM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	136311.0 	140838.0 	142123.0 	140894.0 	137157.0 	: 	: 	: 	: 	95779 	92570 	90524 	90396 	90100 	90530 	92311 	: 	: 	95244 	: 
A,NR,F,Y45-49,AT	276730 	258508 	235822 	208452 	185058 	176258 	191951 	217522 	245479 	270936 	281392 	279103 	271205 	260277 	249703 	238926 	230534 	224342 	220569 	214861 	209181 	202222 	197494 	192774 	194267 	215095 	239110 	258920 	270288 	277681 	268311 	244919 	233643 	239522 	243532 	244577 	256292 	259448 	255656 	253284 	254612 	259249 	269718 	277904 	287355 	298051.0 	308349.0 	316459.0 	325906.0 	336284.0 	344349.0 	349600 	352351 	353242 	352873 	351269 	347035 	341494 	334155 	323491 	313946 	306914 	298717 	295647 	293047 	290825 
A,NR,F,Y45-49,AZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	316700.0 	332600.0 	347800.0 	365600.0 	353025.0 	351805 	350912 	346667 	346174 	343783 	342662 	336905 	333587 	324151 	318874 	314473 	317276 	304542 	314260 	329609 
A,NR,F,Y45-49,BE	313603 	301899 	279184 	253276 	228112 	218324 	235422 	261336 	289869 	319399 	334171 	330377 	328215 	325769 	323163 	320757 	321581 	322219 	323173 	319840 	316748 	307935 	298730 	292297 	292426 	291056 	286152 	275854 	267440 	265943 	267656 	275127 	297947 	317204 	330171 	338887 	348006 	346766 	347739 	348722 	353118 	358338 	365508 	370937 	377481 	384131.0 	388582.0 	393835.0 	397943.0 	402081.0 	406241.0 	409339 	407865 	404288 	398989 	392497 	389777 	388143 	387468 	384045 	379784 	372897 	367752 	368095 	370545 	374706 
A,NR,F,Y45-49,BG	249932 	249892 	235925 	203987 	200578 	190197 	197847 	225707 	267260 	296822 	316556 	320428 	327783 	323863 	326643 	319076 	314924 	306144 	309843 	307553 	314259 	309492 	310699 	301522 	292607 	278768 	272228 	267731 	267641 	269158 	266089 	269270 	280269 	285425 	295648 	307432 	317506 	312156 	311850 	308138 	302328 	294722 	285826 	283210 	279243 	274556.0 	268450.0 	263660.0 	258963.0 	254523.0 	250926.0 	245086 	238368 	225630 	224822 	230940 	234521 	239174 	240989 	241481 	241424 	243299 	245866 	249125 	247634 	242743 
A,NR,F,Y45-49,BY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	425797.0 	428911.0 	427436.0 	418192.0 	: 	387155 	371597 	357480 	346868 	337485 	334486 	333592 	334221 	333469 	: 	: 	: 	: 	: 	: 
