freq,spdepb,spdepm,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,OLD,TOTAL,EUR_HAB_KP15,CH	: 	: 	: 	: 	: 	4346.45 	4405.92 	4565.74 	4785.18 	4958.51 	5056.65 	5225.57 	5283.93 	5389.15 	5091.67 	5141.18 	5145.76 	5326.62 	5356.71 	5647.19 	5703.27 	5922.17 	6111.85 	6240.46 	6387.59 	6595.81 	6689.32 	6731.55 	6770.06 	6938.86 	7098.17 	7182.69 	6889.31 p	6928.4 p
A,OLD,TOTAL,EUR_HAB_KP15,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	815.73 	865.39 	958.01 	1048.32 	1071.83 	1116.67 	1140.96 	1171.58 	1218.13 	1263.75 	1179.91 	1211.01 	1257.95 	1342.47 	1426.68 	1520.98 	1572.88 	1609.29 	1629.5 	1663.59 	1717.98 	1756.92 	1729.66 	1731.79 
A,OLD,TOTAL,EUR_HAB_KP15,CZ	: 	: 	: 	: 	: 	525.09 	572.88 	634.15 	635.46 	654.02 	661.32 	673.28 	716.14 	740 	758.01 	810.32 	838.33 	888.47 	921.38 	988.34 	993.11 	1033.49 	1058.55 	1084.16 	1096.52 	1110.39 	1123.26 	1135.48 	1156.23 	1220.64 	1301.97 	1304.57 	1261.86 	1340.71 
A,OLD,TOTAL,EUR_HAB_KP15,DE	: 	1870.63 	1981.66 	2025.08 	2119.72 	2218.84 	2280.05 	2347.04 	2425.79 	2489.75 	2567.84 	2634.07 	2690.28 	2738.19 	2784.84 	2817.67 	2848.03 	2869.28 	2898.94 	2987.28 	2995.95 	3016.48 	3029.78 	3036.91 	3140 	3249.09 	3339.81 	3394.87 	3459.48 	3575.05 	3698.89 	3699.13 	3633.2 	3603.48 p
A,OLD,TOTAL,EUR_HAB_KP15,DK	2003.89 	2055.03 	2100.48 	2169.77 	2655.9 	2657.91 	2671.75 	2667.13 	2677.42 	2703.32 	2737.75 	2806.16 	2849.86 	2946.13 	3027.31 	3248.22 	3346.64 	3711.41 b	3680.27 	3858.95 	3898.68 	4022.56 	4087.86 	4518.02 	4794.56 	4811.38 	4660.25 	4851.48 	4966.05 	5110.51 	5076.25 	4921.84 	4693.35 	4668.08 p
A,OLD,TOTAL,EUR_HAB_KP15,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	458.88 	452.18 	371.62 	399.7 	438.29 	473.09 	504.86 	571.51 	610.02 	687.4 	742.82 	828.63 	686.58 	691.68 	698.52 	727.81 	771.65 	786.27 	781.12 	810.88 	847.77 	932.24 	941.79 	859.15 	884.75 
A,OLD,TOTAL,EUR_HAB_KP15,EL	: 	: 	: 	: 	: 	925.39 	972.15 	1017.24 	1122.43 	1161.65 	1362.97 b	1470.54 	1547.84 	1620.26 	1745.1 	1847.64 	1957.65 	2025.12 	2173.68 	2273.88 	2192.38 	2214.34 	2236.29 	2050.75 	2161.93 	2332.31 	2322.08 	2243.64 	2199.23 	2239.04 	2240.6 	2276.77 	2166.65 	2220.99 p
A,OLD,TOTAL,EUR_HAB_KP15,ES	: 	: 	: 	: 	: 	1326.15 	1387.21 	1424.57 	1465.55 	1506.76 	1273.8 	1279.08 	1299.74 	1302.37 	1294.12 	1313.06 	1334.94 	1419.18 	1423.34 	1501.7 	1551.27 	1581.29 	1629.75 	1726.88 	1798.12 	1868.74 	1938.08 	1978.09 	2049.47 	2116.32 	2180.75 	2255.35 	2236.53 	2372.97 p
A,OLD,TOTAL,EUR_HAB_KP15,FI	1829.81 	1906.27 	1990.24 	2001.11 	2032.1 	2087.14 	2136.41 	2157.3 	2161.85 	2215.52 	2222.78 	2298.75 	2387.27 	2456.47 	2532.91 	2629.19 	2739.9 	2838.49 	2858.28 	3089.68 	3258.71 	3354.2 	3524.85 	3705.02 	3853.51 	3951 	4175.18 	4340.41 	4427.69 	4537.48 	4648.51 	4639.1 	4522.68 	4643.86 
A,OLD,TOTAL,EUR_HAB_KP15,FR	2216.34 	2294.34 	2381.81 	2471.31 	2546.48 	2618.44 	2632.34 	2729.17 	2808.86 	2909.78 	2924.36 	2975.7 	3016.5 	3061.41 	3130.32 	3195.26 	3294.89 	3409.54 	3481.07 	3665.29 	3742.85 	3829.42 	3904.15 	3997.44 	4043.67 	4099.11 	4160.88 	4193.71 	4221.55 	4270.22 	4249.59 	4258.24 	4267.16 	4216.96 p
A,OLD,TOTAL,EUR_HAB_KP15,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	592.99 e	606.84 e	598.33 e	586.06 e	566.34 e	573.68 e	590.88 e	591.84 e	628.98 e	649.17 e	681.16 e	718.87 e	753.4 	766.09 e	751.65 	789.91 
A,OLD,TOTAL,EUR_HAB_KP15,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	462.98 	461.49 	479.61 	514.05 	547.88 	572.64 	607.09 	640.63 	657.46 	686.79 	660.67 	675.78 	708.67 	739 	786.51 	789.15 	800.54 b	807.32 	802.1 	801.9 	789.61 	824.36 	821.73 	822.8 	880.99 
A,OLD,TOTAL,EUR_HAB_KP15,IE	: 	: 	: 	: 	: 	557.09 	523.82 	532.45 	551.57 	562.86 	1255.81 b	1317.78 	1241.53 	1205.52 	1415.46 	1507.08 	1599.83 	1858.61 	1955.32 	2125.28 	2445.23 	2426.02 	2546.45 	2521.28 	2536.35 	2588.46 	2593.14 	2699.02 	2690.02 	2800.84 	2818.04 	2854.36 	2680.04 	2693.31 
A,OLD,TOTAL,EUR_HAB_KP15,IS	: 	: 	: 	: 	: 	1180.68 	1204.86 	1278.91 	1394.74 	1466.76 	1547.67 	1556.39 	1637.61 	1777.18 	1786.65 	1867.93 	1890.5 	2054.4 	2032.66 	1974.29 	1874.61 	2167.22 	2204.76 	2269.22 	2436.99 	2559.93 	2775.87 	3181.02 	3301.23 	3436.97 	3715.64 	3658.85 	3541.31 	3761.08 
A,OLD,TOTAL,EUR_HAB_KP15,IT	: 	: 	: 	: 	: 	1833.15 	2030.1 	2139.96 	2190.19 	2264.7 	2281.45 	2327.52 	2366.2 	2388.53 	2403.99 	2412.64 	2418.87 	2472.79 	2492.39 	2607.32 	2643.56 	2693.58 	2748.42 	2872.37 	2975.78 	3092.08 	3130.58 	3167.91 	3199.95 	3055.41 	3147.28 	3199.86 p	3172.79 p	3305.88 p
A,OLD,TOTAL,EUR_HAB_KP15,LT	: 	: 	: 	: 	: 	: 	246.88 e	280.17 e	315.04 e	349.08 e	363.33 e	350.6 e	358.92 e	383.4 e	413.92 e	455.2 e	482.57 e	568.69 e	656.54 e	680.01 e	637.91 e	633.02 e	668.56 e	674.71 e	679.71 e	693.99 e	718.64 e	749.3 e	825.29 e	863.25 e	913.02 p	943.16 p	911.07 	932.3 
A,OLD,TOTAL,EUR_HAB_KP15,LU	: 	: 	: 	: 	: 	4564.14 	4591.74 	4791.43 	4748.36 	4808.56 	4836.36 	2834.32 	3017.9 	3149.78 	3175.8 	3276.89 	3323.35 	3344.56 	3384.29 	3607.15 	3587.41 	3646.34 	3758.21 	3894.23 	4152.37 	4470.14 	4537.48 	4695.75 	4821.63 	4979.52 	5255.9 	5506.28 	5538.21 	5852.92 
A,OLD,TOTAL,EUR_HAB_KP15,LV	: 	: 	: 	: 	: 	: 	: 	365.06 e	411.58 e	463.36 e	441.78 e	429.21 e	445.43 e	434.88 e	430.87 e	454.36 e	513.2 e	528.67 e	573.73 e	657.28 e	811.06 e	765.43 e	782.77 e	809.96 e	806.96 e	817.47 e	835.72 e	853.66 e	903.53 e	914.53 p	973.03 p	988.77 p	983.58 e	1036.7 e
A,OLD,TOTAL,EUR_HAB_KP15,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	375.63 	382.75 	394.11 	404.54 	410.37 	415.84 	415.25 	441.53 p
A,OLD,TOTAL,EUR_HAB_KP15,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	238.11 	256.02 	275.43 	: 	: 	: 	: 	: 	: 
A,OLD,TOTAL,EUR_HAB_KP15,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	791.25 	865.99 	874.31 	891.43 	885.93 	941.27 	982.41 	1032.14 	1087.37 	1131.18 	1236.74 	1201.22 	1239.57 	1246.94 	1263.57 	1263.11 	1310.15 	1350.82 	1329.45 	1294.22 	1322.7 	1374.65 	1331.09 	1274.49 
A,OLD,TOTAL,EUR_HAB_KP15,NL	: 	: 	: 	: 	: 	2278.36 	2317.46 	2355.69 	2461.27 	2556.11 	2648.75 	2700.08 	2800.92 	2886.14 	2951.74 	2963.62 	3089.99 	3142.51 	3148.53 	3281.23 	3410.93 	3431.62 	3469.35 	3475.78 	3610.24 	3792.28 	3838.7 	3853.26 	3849.27 	3901.85 	4003.93 	3975.78 	3791.48 	3898.03 
A,OLD,TOTAL,EUR_HAB_KP15,NO	2042.49 	2093.73 	2146.11 	2180.27 	2219.52 	2248.51 	2324.57 	2384.28 	2515.14 	2593.22 	2619.73 	2659.49 	2698.86 	2781.63 	2862.96 	2987.17 	3064.02 	3202.23 	3338.9 	3439.35 	3560.44 	3844.95 	4137.26 	4353.08 	4602.98 	4750.29 	4847.48 	4923.92 	4992.96 	5078.66 	5103.77 	5243.15 	5255.59 	5346.13 
A,OLD,TOTAL,EUR_HAB_KP15,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	440.1 	479.81 	488.27 	507.34 	511.52 	513.92 	552.11 	561.43 	587.84 	646.55 	679.39 	704.67 	756.49 	818.67 	852.77 	896.76 	935.98 	955.57 	1041.03 	1108.79 	1177.45 	1212.28 	1189.05 	1315.34 
A,OLD,TOTAL,EUR_HAB_KP15,PT	: 	: 	: 	: 	: 	832.76 	878.12 	895.5 	963.37 	1033.38 	1099.91 	1170.59 	1217.34 	1259.13 	1352.4 	1425.26 	1463.13 	1491.09 	1556.32 	1672.02 	1701.67 	1762.06 	1734.37 	1888.3 	1916.7 	1886.88 	1902.51 	1915.87 	1952.51 	1994 	2028.23 	2029.67 	2022.18 	2007.54 
