freq,spdepb,spdepm,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,OLD,TOTAL,PC_GDP,LU	: 	: 	: 	: 	: 	7.83 	7.73 	7.63 	7.44 	6.94 	6.51 	3.82 	4.01 	4.18 	4.09 	4.12 	3.87 	3.68 	3.68 	4.09 	3.91 	4.01 	4.13 	4.22 	4.41 	4.7 	4.74 	4.97 	5.11 	5.29 	5.58 	5.31 	5.46 	5.79 
A,OLD,TOTAL,PC_GDP,LV	: 	: 	: 	: 	: 	: 	: 	7.87 e	8.29 e	9.15 e	8.18 e	7.39 e	7.05 e	6.35 e	5.72 e	5.26 e	5.08 e	4.42 e	5.04 e	7.21 e	8.83 e	7.91 e	7.39 e	7.33 e	7.02 e	6.81 e	6.73 e	6.61 e	6.62 e	6.66 p	7.23 p	6.94 p	6.96 e	7.24 e
A,OLD,TOTAL,PC_GDP,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.02 	5.79 	5.62 	5.41 	6.63 	5.77 	5.28 	5.15 p
A,OLD,TOTAL,PC_GDP,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.43 	5.47 	5.75 	: 	: 	: 	: 	: 	: 
A,OLD,TOTAL,PC_GDP,MT	: 	: 	: 	: 	: 	5.11 	5.63 	5.58 	5.61 	5.62 	5.46 	6 	5.88 	5.76 	5.78 	6.05 	6.21 	6.18 	6.32 	6.72 	6.94 	6.75 	6.78 	6.41 	6.04 	5.49 	5.53 	5.12 	4.84 	4.7 	5.08 	4.63 	4.47 	4.06 
A,OLD,TOTAL,PC_GDP,NL	: 	: 	: 	: 	: 	7.21 	7.13 	6.97 	6.99 	7.01 	7.01 	7 	7.3 	7.59 	7.65 	7.53 	7.61 	7.5 	7.38 	7.98 	8.32 	8.39 	8.6 	8.69 	8.96 	9.19 	9.14 	9.02 	8.84 	8.78 	9.41 	8.97 	8.29 	8.69 
A,OLD,TOTAL,PC_GDP,NO	5.59 	5.66 	5.79 	5.75 	5.68 	5.53 	5.34 	5.22 	5.6 	5.47 	4.82 	4.89 	5.09 	5.26 	5.02 	4.79 	4.55 	4.62 	4.58 	5.29 	5.32 	5.5 	5.75 	6.07 	6.52 	7.05 	7.49 	7.36 	7.18 	7.51 	8.12 	6.92 	5.56 	6.82 
A,OLD,TOTAL,PC_GDP,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.55 	7.09 	7.15 	7.17 	6.84 	6.63 	6.71 	6.32 	6.38 	6.78 	6.96 	6.96 	7.43 	7.98 	7.94 	7.88 	7.92 	7.71 	7.94 	8.03 	8.54 	8.12 	7.76 	8.51 
A,OLD,TOTAL,PC_GDP,PT	: 	: 	: 	: 	: 	5.92 	6.1 	5.97 	6.09 	6.3 	6.55 	6.91 	7.15 	7.49 	7.94 	8.34 	8.45 	8.4 	8.82 	9.56 	9.64 	10.27 	10.59 	11.46 	11.46 	10.92 	10.7 	10.44 	10.32 	10.19 	11.22 	10.65 	10.1 	9.55 
A,OLD,TOTAL,PC_GDP,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.08 e	5.13 e	5.42 e	4.92 e	4.99 e	4.98 e	4.79 e	4.99 e	5.76 e	7.05 e	7.29 e	7.03 e	6.8 e	6.94 e	6.85 e	6.8 e	6.9 	6.92 	6.81 	6.75 	7.81 	7.72 	7.34 	7.2 
A,OLD,TOTAL,PC_GDP,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.96 	8.9 	8.48 	8.33 	8.93 	8.74 	8.88 	8.34 	7.98 	7.6 	7.52 	7.36 	7.54 	6.86 	6.32 	6.49 
A,OLD,TOTAL,PC_GDP,SE	: 	: 	: 	9.68 	9.33 	8.9 	8.89 	8.76 	8.44 	8.19 	7.83 	7.73 b	7.89 p	7.68 p	7.56 p	7.69 p	7.46 p	7.39 p	7.98 p	8.85 p	8.58 	8.68 	9.19 	9.69 	9.47 	9.3 	9.39 	9.39 p	9.27 p	9.12 p	9.63 p	9.27 p	9.35 p	9.36 p
A,OLD,TOTAL,PC_GDP,SI	: 	: 	: 	: 	: 	: 	6.93 	7.05 	7.24 	6.91 	7.17 	7.24 	7.41 	7.36 	7.3 	6.33 	5.3 	5.26 	5.12 	5.97 	6.13 	6.22 	6.44 	6.69 	6.71 	6.77 	6.81 	7.67 	7.6 	7.56 	8.34 p	7.98 p	7.97 	7.62 
A,OLD,TOTAL,PC_GDP,SK	: 	: 	: 	: 	: 	5 	5.01 	5.06 	5.23 	5.33 	5.36 	5.42 	5.5 	5.47 	5.47 	5.48 	5.27 	5.13 	5.03 	5.75 	5.6 	5.62 	5.8 	6 	6.31 	6.27 	6.23 	6.28 	6.22 	6.25 	6.65 	6.42 	6.16 	6.63 
A,OLD,TOTAL,PC_GDP,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.07 	3.38 	3.63 	4.32 	4.56 	4.7 	4.76 	5.07 	5 	6.03 	5.92 	5.51 	5.63 	5.53 	5.52 	5.48 	5.91 	5.43 	5.43 	5.29 	5.08 	4.13 	3.23 	3.71 
A,OLD,TOTAL,PC_GDP,UK	7.38 	7.96 	8.49 	8.6 	8.48 	7.75 	7.82 	8.04 	7.84 	8.04 	8.57 	8.35 	7.94 	7.91 	7.93 	8.05 	8.06 	8.43 	8.75 	9.65 	9.81 	9.93 	10.29 	10.23 	10.07 	10.03 	9.4 	9.71 	9.68 p	: 	: 	: 	: 	: 
