geo,year,pension_pct_gdp
SK,1993,
SK,1994,
SK,1995,5.0
SK,1996,5.01
SK,1997,5.06
SK,1998,5.23
SK,1999,5.33
SK,2000,5.36
SK,2001,5.42
SK,2002,5.5
SK,2003,5.47
SK,2004,5.47
SK,2005,5.48
SK,2006,5.27
SK,2007,5.13
SK,2008,5.03
SK,2009,5.75
SK,2010,5.6
SK,2011,5.62
SK,2012,5.8
SK,2013,6.0
SK,2014,6.31
SK,2015,6.27
SK,2016,6.23
SK,2017,6.28
SK,2018,6.22
SK,2019,6.25
SK,2020,6.65
SK,2021,6.42
SK,2022,6.16
SK,2023,6.63
