geo,year,net_migration_rate,natural_growth_rate,total_growth_rate
BE,2018,4.3,0.6690301755769947,4.969030175576995
BE,2019,5.0,0.7779656251279405,5.7779656251279405
BE,2020,3.9,-1.0888318793588858,2.8111681206411143
BE,2021,4.9,0.5208240027687274,5.420824002768728
BE,2022,10.9,-0.20047130122917572,10.699528698770825
BE,2023,6.4,-0.044793420578880874,6.35520657942112
BE,2024,7.2,-0.23846806355808567,6.961531936441914
BE,2025,,,
BG,1960,0.0,9.760454582727379,9.760454582727379
BG,1961,0.0,9.524885326700316,9.524885326700316
BG,1962,0.0,8.082965802393614,8.082965802393614
BG,1963,0.0,8.214381867950884,8.214381867950884
BG,1964,0.0,8.196019988332084,8.196019988332084
BG,1965,-0.7,7.192988312998995,6.492988312998995
BG,1966,0.0,6.642498871310985,6.642498871310985
BG,1967,0.0,6.021007021450576,6.021007021450576
BG,1968,0.0,8.312291859775126,8.312291859775126
BG,1969,-0.3,7.481723163035098,7.181723163035098
BG,1970,-1.3,7.283562989056107,5.983562989056107
BG,1971,-1.1,6.179415501070302,5.079415501070303
BG,1972,-1.2,5.508590536049356,4.308590536049356
BG,1973,-0.6,6.7767813645319155,6.176781364531916
BG,1974,-0.2,7.3960617246260165,7.196061724626016
BG,1975,-3.8,6.2794135830923565,2.4794135830923567
BG,1976,-0.3,6.480149766922592,6.180149766922592
BG,1977,-1.2,5.388262806542812,4.188262806542812
BG,1978,-6.9,4.986850817933304,-1.9131491820666966
BG,1979,0.0,4.651090425465466,4.651090425465466
BG,1980,0.0,3.4183330946302894,3.4183330946302894
BG,1981,0.0,3.2592243111479418,3.2592243111479418
BG,1982,0.0,2.6806785542683853,2.6806785542683853
BG,1983,0.0,2.33063346731872,2.33063346731872
BG,1984,0.0,2.33337027873518,2.33337027873518
BG,1985,-3.7,1.2785337636578507,-2.4214662363421495
BG,1986,0.1,1.7920910671427999,1.8920910671428
BG,1987,0.0,1.0549311422944747,1.0549311422944747
BG,1988,0.0,1.12017762418737,1.12017762418737
BG,1989,-25.3,0.5994456657641413,-24.70055433423586
BG,1990,-10.9,-0.3909980121606313,-11.290998012160632
BG,1991,-6.9,-1.6740742500895982,-8.574074250089598
BG,1992,-10.7,-2.19464566489422,-12.89464566489422
BG,1993,0.0,-2.962923502713008,-2.962923502713008
BG,1994,0.0,-3.8281214260966885,-3.8281214260966885
BG,1995,0.0,-5.067151053857778,-5.067151053857778
BG,1996,0.1,-5.351165782021214,-5.251165782021214
BG,1997,0.0,-6.922004916474601,-6.922004916474601
BG,1998,0.0,-6.37784914042882,-6.37784914042882
BG,1999,0.0,-4.798811621007121,-4.798811621007121
BG,2000,0.0,-5.05538113383721,-5.05538113383721
BG,2001,-29.5,-5.422194430360362,-34.92219443036036
BG,2002,-2.2,-5.860857066788328,-8.060857066788328
BG,2003,-2.0,-5.7098156096478565,-7.7098156096478565
BG,2004,-2.1,-5.1934456505473685,-7.293445650547369
BG,2005,-2.2,-5.501541053196737,-7.701541053196737
BG,2006,-2.3,-5.1721170722986205,-7.47211707229862
BG,2007,-2.3,-4.972484616726485,-7.2724846167264845
BG,2008,-2.4,-4.364324457482188,-6.7643244574821875
BG,2009,-2.5,-3.6308514702926256,-6.130851470292626
BG,2010,-2.4,-4.668969622593869,-7.068969622593869
BG,2011,-0.7,-5.076647030143847,-5.776647030143847
BG,2012,-0.3,-5.480929749110986,-5.780929749110986
BG,2013,-6.6,-5.243555204569044,-11.843555204569043
BG,2014,-6.6,-5.812051024432477,-12.412051024432476
BG,2015,-6.7,-6.28292286004077,-12.98292286004077
BG,2016,-6.8,-6.138849900969324,-12.938849900969323
BG,2017,-6.8,-6.691857733639067,-13.491857733639067
BG,2018,-7.0,-6.85602104235671,-13.85602104235671
BG,2019,-7.3,-6.98435830861035,-14.28435830861035
BG,2020,4.3,-9.993340208774942,-5.693340208774942
BG,2021,6.3,-13.826604759222777,-7.526604759222777
